"INSEE","NOM_COMM","area","RANG","TYPE_LIEU","year_pop","pop","system","residus","neg_pos"
"80001","ABBEVILLE",307.9,5,"Ville","POP1836",18247,"complet sans Paris",0.337469865920572,"Moins dense"
"80013","AIRAINES",46.7146,53,"Bourg","POP1836",1935,"complet sans Paris",0.122775271628728,"Moins dense"
"62014","AIRE-SUR-LA-LYS",48.2772,50,"Ville","POP1836",8717,"complet sans Paris",-0.268264893766947,"Plus dense"
"80016","ALBERT",53.9511,44,"Ville","POP1836",2542,"complet sans Paris",0.111848284414024,"Moins dense"
"80021","AMIENS",334.531,4,"Ville","POP1836",46129,"complet sans Paris",0.123744096020722,"Moins dense"
"02018","ANIZY-LE-CHÂTEAU",30.3141,90,"Bourg","POP1836",1073,"complet sans Paris",0.0937550193314557,"Moins dense"
"62038","ARDRES",20.68642,126,"Ville","POP1836",2150,"complet sans Paris",-0.259364765584953,"Plus dense"
"59017","ARMENTIERES",40.0174,65,"Ville","POP1836",6512,"complet sans Paris",-0.271224882629679,"Plus dense"
"62041","ARRAS",360.4134,3,"Ville","POP1836",23485,"complet sans Paris",0.337902252213701,"Moins dense"
"62057","AUDRUICQ",21.7074,122,"Bourg","POP1836",2373,"complet sans Paris",-0.265017947535134,"Plus dense"
"80039","AULT",18.9339,131,"Bourg","POP1836",1360,"complet sans Paris",-0.17447884236377,"Plus dense"
"62060","AUXI-LE-CHÂTEAU",38.766,68,"Bourg","POP1836",2646,"complet sans Paris",-0.0424990685666161,"Plus dense"
"59036","AVESNES-SUR-HELPE",19.026,130,"Ville","POP1836",3030,"complet sans Paris",-0.388095279311877,"Plus dense"
"59043","BAILLEUL",53.3846,45,"Ville","POP1836",9911,"complet sans Paris",-0.259160014065222,"Plus dense"
"62080","BAPAUME",47.9285,51,"Bourg","POP1836",3122,"complet sans Paris",0.00509621889819325,"Moins dense"
"59053","BAVAY",30.0708,93,"Ville","POP1836",1650,"complet sans Paris",-0.0256255423074021,"Plus dense"
"95052","BEAUMONT-SUR-OISE",25.7837,110,"Ville","POP1836",1874,"complet sans Paris",-0.126706124692387,"Plus dense"
"60057","BEAUVAIS",217.09,10,"Ville","POP1836",13082,"complet sans Paris",0.275310518536604,"Moins dense"
"59067","BERGUES",107.7,21,"Ville","POP1836",5968,"complet sans Paris",0.182233574162806,"Moins dense"
"62119","BETHUNE",133.4327,14,"Ville","POP1836",6805,"complet sans Paris",0.239936712208461,"Moins dense"
"60069","BETZ",22.5636,120,"Bourg","POP1836",534,"complet sans Paris",0.153435489758237,"Moins dense"
"02095","BOHAIN-EN-VERMANDOIS",33.8304,85,"Bourg","POP1836",3393,"complet sans Paris",-0.16860652780607,"Plus dense"
"59092","BOUCHAIN",15.2486,138,"Ville","POP1836",1148,"complet sans Paris",-0.222853816063527,"Plus dense"
"62160","BOULOGNE-SUR-MER",126.1,16,"Ville","POP1836",25732,"complet sans Paris",-0.142789722656071,"Plus dense"
"59094","BOURBOURG",59.3667,40,"Ville","POP1836",2527,"complet sans Paris",0.154984651745139,"Moins dense"
"80136","BRAY-SUR-SOMME",24.9113,115,"Ville","POP1836",1405,"complet sans Paris",-0.0640886841261524,"Plus dense"
"60104","BRETEUIL",46.187,56,"Ville","POP1836",2415,"complet sans Paris",0.0581694560349756,"Moins dense"
