"meandist","median","dist_choice","cluster"
21062.356621072,22426.1709216028,30000,"1"
25268.3871630849,20767.9706121406,30000,"2"
25169.3514278012,22307.9651178289,30000,"3"
14877.4655843777,14877.4655843777,30000,"4"
20087.6616749303,18912.8418975747,30000,"5"
17296.3795308071,17296.3795308071,30000,"6"
15969.2577037157,14492.4204228084,30000,"7"
12598.1242228084,12598.1242228084,30000,"8"
20497.4245300305,21091.8602717706,30000,"9"
22388.869208695,20456.638558456,30000,"10"
16756.382904257,16756.382904257,30000,"11"
21093.0390656766,21612.715516532,30000,"12"
19434.4280215852,20872.6038373175,30000,"13"
18430.7912660449,14102.0277796266,30000,"14"
19705.0228823295,19612.1586389562,30000,"15"
NA,NA,30000,"16"
19460.9880103727,20276.0990799361,30000,"17"
20213.8030907371,20496.4402758249,30000,"18"
21991.4790871204,21388.4470156034,30000,"19"
14720.8379802862,14001.6258678507,30000,"20"
NA,NA,30000,"21"
19504.3271162544,18386.7288656571,30000,"22"
20109.8935340363,20815.103508192,30000,"23"
14937.1123152013,15330.1493739628,30000,"24"
20927.4984670954,21501.506179834,30000,"25"
10364.8885547803,10364.8885547803,30000,"26"
NA,NA,30000,"27"
19152.2068294631,16655.8364070046,30000,"28"
13228.6518980548,13228.6518980548,30000,"29"
10679.705886182,10679.705886182,30000,"30"
NA,NA,30000,"31"
24429.8693932368,25209.2790109946,30000,"32"
16781.1884555669,16337.5122816338,30000,"33"
21526.0474023754,21543.0973198381,30000,"34"
21889.3303077161,22587.5631538485,30000,"35"
16249.130455752,15746.1948586177,30000,"36"
14251.6877497369,14251.6877497369,30000,"37"
21541.6722364099,21541.6722364099,30000,"38"
21062.356621072,22426.1709216028,35000,"1"
27522.0953105846,24554.871001036,35000,"2"
25169.3514278012,22307.9651178289,35000,"3"
27927.7071125813,25928.6630619519,35000,"4"
17296.3795308071,17296.3795308071,35000,"5"
15969.2577037157,14492.4204228084,35000,"6"
25287.4866695175,24136.4242804592,35000,"7"
20497.4245300305,21091.8602717706,35000,"8"
22388.869208695,20456.638558456,35000,"9"
26387.0694545843,28127.322087161,35000,"10"
19434.4280215852,20872.6038373175,35000,"11"
19705.0228823295,19612.1586389562,35000,"12"
NA,NA,35000,"13"
19460.9880103727,20276.0990799361,35000,"14"
20213.8030907371,20496.4402758249,35000,"15"
25991.5647126157,25679.011067206,35000,"16"
NA,NA,35000,"17"
19504.3271162544,18386.7288656571,35000,"18"
27221.4451798927,26527.8156673998,35000,"19"
26463.5287637742,23762.9838710268,35000,"20"
10364.8885547803,10364.8885547803,35000,"21"
NA,NA,35000,"22"
13228.6518980548,13228.6518980548,35000,"23"
10679.705886182,10679.705886182,35000,"24"
NA,NA,35000,"25"
24429.8693932368,25209.2790109946,35000,"26"
16781.1884555669,16337.5122816338,35000,"27"
21526.0474023754,21543.0973198381,35000,"28"
25243.7774080688,26508.5236608559,35000,"29"
16249.130455752,15746.1948586177,35000,"30"
21062.356621072,22426.1709216028,40000,"1"
27522.0953105846,24554.871001036,40000,"2"
30640.0676794747,30651.4637022207,40000,"3"
27927.7071125813,25928.6630619519,40000,"4"
26761.6986964898,24542.9806662692,40000,"5"
25287.4866695175,24136.4242804592,40000,"6"
29027.5040720297,26787.5953923726,40000,"7"
22388.869208695,20456.638558456,40000,"8"
26387.0694545843,28127.322087161,40000,"9"
19705.0228823295,19612.1586389562,40000,"10"
NA,NA,40000,"11"
19460.9880103727,20276.0990799361,40000,"12"
29841.6326627325,24799.8048583572,40000,"13"
25991.5647126157,25679.011067206,40000,"14"
NA,NA,40000,"15"
27221.4451798927,26527.8156673998,40000,"16"
26463.5287637742,23762.9838710268,40000,"17"
NA,NA,40000,"18"
28945.153049849,32469.3398878832,40000,"19"
NA,NA,40000,"20"
24429.8693932368,25209.2790109946,40000,"21"
16781.1884555669,16337.5122816338,40000,"22"
21526.0474023754,21543.0973198381,40000,"23"
25243.7774080688,26508.5236608559,40000,"24"
16249.130455752,15746.1948586177,40000,"25"
34860.6216568722,32914.3371640375,45000,"1"
30640.0676794747,30651.4637022207,45000,"2"
34556.1344489096,32253.5644149375,45000,"3"
26761.6986964898,24542.9806662692,45000,"4"
33673.6049635708,31187.5962847358,45000,"5"
29027.5040720297,26787.5953923726,45000,"6"
26387.0694545843,28127.322087161,45000,"7"
19705.0228823295,19612.1586389562,45000,"8"
NA,NA,45000,"9"
19460.9880103727,20276.0990799361,45000,"10"
29841.6326627325,24799.8048583572,45000,"11"
25991.5647126157,25679.011067206,45000,"12"
NA,NA,45000,"13"
27221.4451798927,26527.8156673998,45000,"14"
34178.9247286823,30138.1641652647,45000,"15"
NA,NA,45000,"16"
28945.153049849,32469.3398878832,45000,"17"
NA,NA,45000,"18"
24429.8693932368,25209.2790109946,45000,"19"
16781.1884555669,16337.5122816338,45000,"20"
25243.7774080688,26508.5236608559,45000,"21"
34860.6216568722,32914.3371640375,50000,"1"
30640.0676794747,30651.4637022207,50000,"2"
34556.1344489096,32253.5644149375,50000,"3"
26761.6986964898,24542.9806662692,50000,"4"
33673.6049635708,31187.5962847358,50000,"5"
36457.6586253892,39632.7649272301,50000,"6"
32025.7584558931,29345.617503185,50000,"7"
19705.0228823295,19612.1586389562,50000,"8"
26358.2046486403,21620.3691041638,50000,"9"
36528.4918759066,35447.7750498359,50000,"10"
27221.4451798927,26527.8156673998,50000,"11"
39537.889156949,40851.8154563597,50000,"12"
24429.8693932368,25209.2790109946,50000,"13"
16781.1884555669,16337.5122816338,50000,"14"
25243.7774080688,26508.5236608559,50000,"15"
34860.6216568722,32914.3371640375,55000,"1"
42506.6494550925,40560.1296742858,55000,"2"
34556.1344489096,32253.5644149375,55000,"3"
26761.6986964898,24542.9806662692,55000,"4"
33673.6049635708,31187.5962847358,55000,"5"
36457.6586253892,39632.7649272301,55000,"6"
19705.0228823295,19612.1586389562,55000,"7"
39874.1080170655,38082.8679313321,55000,"8"
36528.4918759066,35447.7750498359,55000,"9"
27221.4451798927,26527.8156673998,55000,"10"
39537.889156949,40851.8154563597,55000,"11"
24429.8693932368,25209.2790109946,55000,"12"
16781.1884555669,16337.5122816338,55000,"13"
34860.6216568722,32914.3371640375,60000,"1"
42506.6494550925,40560.1296742858,60000,"2"
34556.1344489096,32253.5644149375,60000,"3"
43414.1513305532,42138.499567614,60000,"4"
33673.6049635708,31187.5962847358,60000,"5"
44297.483016595,43740.5729608525,60000,"6"
39874.1080170655,38082.8679313321,60000,"7"
27221.4451798927,26527.8156673998,60000,"8"
39537.889156949,40851.8154563597,60000,"9"
24429.8693932368,25209.2790109946,60000,"10"
16781.1884555669,16337.5122816338,60000,"11"
48965.3129453283,46601.1622573948,65000,"1"
42506.6494550925,40560.1296742858,65000,"2"
47658.3823117709,45933.9598870869,65000,"3"
45742.3722991824,45241.3427206499,65000,"4"
44297.483016595,43740.5729608525,65000,"5"
39874.1080170655,38082.8679313321,65000,"6"
39537.889156949,40851.8154563597,65000,"7"
16781.1884555669,16337.5122816338,65000,"8"
48965.3129453283,46601.1622573948,70000,"1"
42506.6494550925,40560.1296742858,70000,"2"
47658.3823117709,45933.9598870869,70000,"3"
45742.3722991824,45241.3427206499,70000,"4"
44297.483016595,43740.5729608525,70000,"5"
39874.1080170655,38082.8679313321,70000,"6"
49820.3064722645,48357.5824795204,70000,"7"
48965.3129453283,46601.1622573948,75000,"1"
58668.4264725227,56064.1343733092,75000,"2"
47658.3823117709,45933.9598870869,75000,"3"
45742.3722991824,45241.3427206499,75000,"4"
39874.1080170655,38082.8679313321,75000,"5"
49820.3064722645,48357.5824795204,75000,"6"
48965.3129453283,46601.1622573948,80000,"1"
58668.4264725227,56064.1343733092,80000,"2"
47658.3823117709,45933.9598870869,80000,"3"
45742.3722991824,45241.3427206499,80000,"4"
63143.6900327415,60198.4195191478,80000,"5"
